Shots_Total,ShotsZones_OutOfBox,ShotsZones_SixYardBox,ShotsZones_PenaltyArea,ShotsSituations_OpenPlay,shotsSituations_Counter,ShotsSituations_SetPiece,ShotsSituations_PenaltyTaken,ShotsAccuracy_OffTarget,ShotsAccuracy_OnPost,ShotsAccuracy_OnTarget,ShotsAccuracy_Blocked,ShotsBodyParts_RightFoot,ShotsBodyParts_LeftFoot,ShotsBodyParts_Head,ShotsBodyParts_Other,Goals_Total,GoalsZones_SixYardBox,GoalsZones_PenaltyArea,GoalsZones_OutOfBox,GoalsSituations_OpenPlay,GoalsSituations_Counter,GoalsSituations_SetPiece,GoalsSituations_PenaltyScored,GoalsSituations_Own,GoalsSituations_Normal,GoalsBodyParts_RightFoot,GoalsBodyParts_LeftFoot,GoalsBodyParts_Head,GoalsBodyParts_Other,Dribbles_Unsuccessful,Dribbles_Successful,Dribbles_Total,PossesionLoss_UnsuccessfulTouches,PossesionLoss_Dispossessed,Aerial_Total,Aerial_Won,Aerial_Lost,Rating
Paris Saint-Germain_2019,14.8,4.3,1.3,9.1,10.4,0.8,3.2,0.3,5.9,0.4,6.1,2.8,8,4.9,1.8,0,2.8,0.6,1.9,0.2,1.7,0.4,0.3,0.3,0.1,2.4,1.7,0.7,0.3,0,7.8,11.9,19.7,13.2,12,20.2,11,9.2,7.05
Lyon_2019,17.7,6.9,1.2,9.6,12.7,0.6,4.2,0.3,6.7,0.2,6.6,4.3,8.5,6.6,2.5,0.1,1.8,0.3,1.3,0.3,1.4,0.1,0.2,0.1,0,1.7,0.8,0.8,0.2,0,7.9,12.2,20.1,15.8,11.9,30.7,16.6,14,6.91
Lille_2019,13.1,5.6,0.5,6.9,9,0.8,2.9,0.3,5.2,0.2,5.1,2.8,5.2,5.9,1.9,0.1,1.8,0.2,1.3,0.2,0.9,0.3,0.3,0.3,0.1,1.4,0.7,0.8,0.2,0,7,9.6,16.6,14.5,12.1,31.1,15.4,15.7,6.84
Montpellier_2019,13.4,5.9,0.9,6.6,9.4,0.5,3.4,0.1,5.8,0.2,4.5,3.1,7.1,3.6,2.7,0.1,1.4,0.3,0.8,0.2,0.9,0.1,0.3,0.1,0.1,1.2,0.7,0.4,0.3,0,6.8,8,14.8,15.8,10.2,40.7,20.3,20.4,6.81
Saint-Etienne_2019,13.1,5.2,1.1,6.8,9.3,0.2,3.5,0.1,4.8,0.2,4.7,3.7,7.5,3.4,2.1,0.1,1.6,0.3,1,0.2,0.9,0,0.4,0.1,0.1,1.3,0.9,0.2,0.4,0,6.7,8.3,15,13.6,10.7,34.4,16.6,17.7,6.78
Marseille_2019,13.9,5.2,1,7.7,9,0.3,4.5,0.1,5.9,0.2,4.5,3.6,5.9,4.6,3.3,0.1,1.6,0.3,1,0.2,1,0.1,0.4,0.1,0,1.4,0.6,0.5,0.4,0,7.9,9.4,17.3,15.1,9.6,35.9,18.9,17,6.78
Nice_2019,11.6,5.2,0.7,5.7,7.4,0.6,3.3,0.2,5,0.2,3.4,3.2,7.2,2.5,1.9,0,0.8,0.1,0.5,0.1,0.4,0.1,0.1,0.1,0.1,0.6,0.4,0.2,0.1,0,11.1,13.3,24.3,17.2,10.8,28,14.3,13.7,6.76
Nimes_2019,13.7,6.1,1.1,6.5,9.1,0.5,3.9,0.2,5.7,0.4,4.7,3.3,8.1,3.4,2.2,0,1.5,0.3,0.9,0.3,0.8,0.1,0.4,0.1,0.1,1.3,0.8,0.3,0.3,0,8.4,9.6,17.9,16.9,10.7,41.7,19.2,22.5,6.75
Rennes_2019,12.4,5.4,1.1,5.9,7.5,0.6,4,0.3,5.4,0.3,4.2,2.8,7,3.6,1.7,0.1,1.4,0.3,0.7,0.3,0.7,0.2,0.3,0.2,0.1,1.2,1,0.2,0.1,0,9.9,10.3,20.2,16.1,9.8,32.6,17.1,15.5,6.73
Strasbourg_2019,10.6,4.4,0.6,5.6,7.1,0.4,2.9,0.2,4,0.1,4.1,2.4,5.4,2.9,2.2,0,1.5,0.3,1,0.2,0.8,0.2,0.4,0.1,0,1.4,0.8,0.3,0.3,0,6,7.5,13.6,15.6,10.5,34.2,17.3,16.9,6.73
Reims_2019,10.7,4.1,0.5,6,7.2,0.6,2.8,0.1,4.8,0.2,3.6,2.2,5.4,3.8,1.5,0,1,0.1,0.7,0.2,0.8,0.1,0.1,0.1,0,1,0.6,0.3,0.1,0,7.1,8.4,15.5,15.8,8.9,37.5,17.9,19.6,6.72
Nantes_2019,13.6,6.6,0.7,6.3,9.4,0.3,3.6,0.2,5.9,0.2,3.9,3.8,6.7,4.4,2.4,0,1.3,0.2,0.7,0.2,0.8,0.1,0.2,0.2,0.1,1.1,0.7,0.3,0.2,0,5.9,7.4,13.3,17,10.4,40.2,21.2,18.9,6.71
Angers_2019,11.9,4.7,0.9,6.3,8.1,0.5,3.1,0.3,4.9,0.3,4.1,3,7,2.7,2.3,0.1,1.2,0.3,0.7,0.1,0.7,0,0.2,0.1,0.1,1,0.4,0.4,0.3,0,6.4,8.3,14.8,16.1,11.7,32.5,16.8,15.6,6.70
Bordeaux_2019,11.2,5.6,0.6,5.1,7.9,0.6,2.6,0.2,5,0.2,3.6,2.6,6.5,2.9,1.7,0.1,0.9,0.2,0.6,0.1,0.6,0.1,0.1,0.1,0,0.8,0.6,0.1,0.1,0.1,8.2,9.1,17.3,15.9,11.2,38.1,18.1,20,6.67
Toulouse_2019,11.4,4.4,0.6,6.3,7.2,0.2,3.6,0.3,5,0.3,3.5,2.9,6,3.3,2.1,0.1,0.9,0.1,0.7,0.1,0.4,0,0.4,0.2,0,0.7,0.7,0.2,0.1,0,8.7,9.6,18.3,18.3,11.8,37.8,19.7,18,6.62
Monaco_2019,12.3,4.9,0.6,6.7,8.3,0.6,3.3,0.1,4.8,0.4,4.2,3.3,6.1,4.1,2,0.1,1,0.2,0.7,0.1,0.7,0.1,0.1,0.1,0,0.9,0.6,0.2,0.2,0,7.4,7.7,15.1,16.8,9.2,33.2,16.8,16.4,6.61
Dijon_2019,12,5.7,0.4,5.8,8.1,0.2,3.5,0.1,5.4,0.2,3.8,2.8,6.7,3.3,2,0,0.8,0.1,0.6,0.1,0.5,0,0.2,0.1,0.1,0.7,0.4,0.3,0.1,0,6.6,9.2,15.8,15.9,10.1,41,19.2,21.8,6.59
Caen_2019,8.8,4.1,0.5,4.2,5.6,0.2,2.9,0.1,3.8,0.1,2.6,2.5,4.6,2.5,1.7,0.1,0.8,0.2,0.4,0.2,0.4,0.1,0.2,0.1,0,0.7,0.4,0.2,0.2,0,7,7.1,14.1,17.3,10.8,43.8,21.1,22.6,6.59
Amiens_2019,10.2,5,0.4,4.8,7,0.2,2.9,0.1,4.5,0.1,3.1,2.6,5.3,3.4,1.4,0.1,0.8,0.1,0.6,0.1,0.5,0,0.2,0.1,0,0.7,0.5,0.1,0.2,0,6,6.7,12.7,16.9,10.5,39.1,19.5,19.6,6.57
Guingamp_2019,10.9,4.7,0.6,5.7,7.2,0.2,3.3,0.2,4.8,0.2,3,3.1,5.7,3.1,2.1,0.1,0.7,0.1,0.6,0,0.4,0.1,0.2,0.1,0,0.6,0.4,0.1,0.3,0,5.8,9.3,15.1,16,12.5,44.6,21.3,23.3,6.55
Paris Saint-Germain_2018,16.4,5.2,1.1,10.1,11.7,0.7,3.7,0.2,6.3,0.5,6.7,3.4,8.2,6.3,1.9,0.1,2.8,0.4,1.8,0.5,2,0.2,0.3,0.2,0.2,2.4,1.5,0.9,0.2,0,7.8,16.8,24.7,13.1,11.4,16.8,09.05,7.2,7.16
Lyon_2018,15.3,6.5,0.9,7.9,10.6,0.6,4,0.2,5.5,0.4,6.1,3.7,7.7,5.8,1.9,0,2.3,0.4,1.3,0.5,1.5,0.2,0.4,0.2,0.1,2.1,1.1,0.9,0.2,0,8,14.08,22.8,17.1,13.1,28.2,15.5,12.7,07.04
Marseille_2018,16.4,6,1.6,8.7,11.2,0.7,4.2,0.2,6.1,0.3,6.2,4.2,07.01,6.2,2.9,0.2,2.1,0.7,1.3,0.1,1.4,0.1,0.4,0.1,0,1.9,0.9,0.8,0.3,0.1,6.6,14,20.6,14.1,11.9,31.8,16.1,15.7,6.99
Monaco_2018,12.9,4.9,0.9,7.1,8.9,0.2,3.6,0.2,5,0.3,4.8,3.2,5.4,5.2,2.3,0,2.2,0.4,1.6,0.2,1.5,0.1,0.4,0.2,0.1,2,1.1,0.7,0.4,0,7.6,9.2,16.8,15.6,10.1,33.7,17.1,16.6,6.94
Montpellier_2018,12.9,6.5,0.6,5.8,8.7,0.4,3.8,0.1,5.9,0.2,4.2,02.09,6.3,4.4,2.1,0.1,0.9,0.2,0.4,0.3,0.7,0.1,0.1,0,0,0.9,0.5,0.3,0.1,0,6.4,10,16.4,15,10.3,32.6,17.4,15.2,6.78
Nice_2018,12.8,5.6,0.6,6.6,8.9,0.2,3.4,0.3,4.8,0.2,4.8,3.2,8.6,2.5,1.6,0.1,1.4,0.2,0.9,0.3,0.8,0.1,0.2,0.2,0,1.2,1,0.3,0.1,0,6.4,13.3,19.7,13.3,11.3,21.7,10.8,10.9,6.77
Bordeaux_2018,12.4,5.5,0.9,5.9,9.1,0.3,2.9,0.2,5.7,0.2,4,2.7,5.6,4.3,2.5,0.1,1.4,0.4,0.7,0.2,1,0.1,0.2,0.1,0,1.3,0.6,0.4,0.3,0,8.1,12.1,20.2,15.9,11.2,33,15.9,17.1,6.77
Rennes_2018,12.3,5.4,0.9,5.9,7.8,0.2,4.1,0.2,5.8,0.3,3.8,2.8,7.7,2.7,2,0,1.3,0.3,0.7,0.2,0.8,0,0.3,0.2,0.1,1.1,0.9,0.2,0.1,0,6.3,9.4,15.7,16.7,11,36.2,18.5,17.7,6.75
Saint-Etienne_2018,11.1,4.6,0.8,5.8,7.6,0.3,3,0.3,4.6,0.2,4.1,2.5,6.9,2.6,1.6,0.1,1.2,0.1,0.8,0.3,0.7,0.1,0.2,0.2,0.1,1,0.8,0.3,0.1,0,5.6,9.8,15.4,13.1,12.9,33.9,17.3,16.6,6.74
Nantes_2018,13.2,6.3,0.6,6.3,9,0.1,4,0.1,6.2,0.2,3.6,3.4,7.1,3.6,2.4,0.1,0.9,0.1,0.6,0.3,0.7,0,0.2,0.1,0,0.8,0.6,0.2,0.2,0,5.2,9.1,14.3,15.8,12.1,37.3,18.3,18.9,6.72
Guingamp_2018,11.8,4.9,0.6,6.3,7.9,0.2,3.6,0.2,5.3,0.2,4.4,2.1,5.3,4.4,1.9,0.1,1.3,0.2,0.7,0.2,0.7,0.1,0.3,0.2,0.1,1.1,0.6,0.4,0.2,0,5.7,10.4,16.1,15.3,11.6,34.7,17.1,17.5,6.72
Dijon_2018,11.6,5.2,0.3,6.1,8.5,0.2,2.7,0.1,4.9,0.2,4.2,2.5,6.1,3.7,1.8,0.1,1.4,0.2,1,0.2,0.9,0.1,0.2,0.1,0.1,1.2,0.6,0.6,0.2,0,4.8,11.6,16.4,15,11.7,34.6,16.4,18.2,6.71
Amiens_2018,9.5,4.4,0.8,4.3,6.8,0.2,2.4,0.1,4.6,0.2,2.7,2.3,3.8,4.1,1.6,0,1,0.2,0.5,0.2,0.6,0.1,0.2,0.1,0,0.9,0.4,0.4,0.1,0,5.6,10.4,16,16.3,13.2,37.7,17.5,20.2,6.71
Toulouse_2018,11.4,4.6,0.9,5.9,7.2,0.2,3.7,0.3,4.8,0.2,3.9,2.7,5.9,3.2,2.2,0.1,1,0.2,0.6,0.1,0.4,0,0.2,0.2,0.1,0.7,0.6,0.3,0.1,0,7.7,10.3,18,15.3,10.6,39,20.5,18.6,6.68
Lille_2018,11.3,5.8,0.3,5.3,8.3,0.3,2.7,0.1,4.9,0.1,3.7,2.7,5.2,4.7,1.4,0,1.1,0.1,0.7,0.2,0.8,0.1,0.2,0.1,0,1,0.4,0.5,0.2,0,6.4,15.1,21.6,16.9,14.6,25.9,13.3,12.5,6.66
Caen_2018,12.1,5.5,0.4,6.2,8.4,0.2,3.3,0.2,5.9,0.2,3.4,2.8,5.9,3.4,2.8,0,0.7,0.1,0.5,0.1,0.4,0,0.1,0.1,0.1,0.5,0.3,0.2,0.2,0,4.3,8.1,12.3,16.8,12.2,43.7,22.4,21.3,6.65
Strasbourg_2018,11.9,5.1,0.7,6.2,7.9,0.2,3.6,0.2,5.4,0.3,3.4,3.1,5.9,3.6,2.3,0.1,1.2,0.1,0.8,0.2,0.8,0,0.2,0.2,0,0.9,0.6,0.4,0.2,0,6.6,10.1,16.7,16.1,10.5,37,18.9,18.1,6.65
Angers_2018,12.2,5.3,0.7,6.1,8.4,0.4,3.3,0.1,5,0.3,4.1,3.1,6.8,3.2,2.1,0.1,1.1,0.3,0.7,0.1,0.6,0.1,0.3,0.1,0,1,0.5,0.3,0.3,0,5.9,10,15.9,14.4,12.9,34.2,16.3,17.9,6.62
Metz_2018,11.3,5.3,0.6,5.4,8.2,0.2,2.8,0.1,4.4,0.2,4.2,2.6,7.2,1.7,2.3,0.1,0.9,0.3,0.5,0.1,0.5,0.1,0.2,0.1,0,0.8,0.4,0.2,0.3,0,7,9.4,16.4,15.3,8.2,36.4,16.8,19.6,6.59
Troyes_2018,9.5,4.1,0.6,4.9,7.1,0.3,2,0.1,4.1,0.2,3.3,2.1,4,4.1,1.4,0,0.8,0.2,0.5,0.1,0.6,0.1,0.1,0.1,0.1,0.7,0.4,0.3,0.1,0,6.8,8.2,14.9,14.7,10.4,39.5,18.1,21.4,6.59